,TestName,Metadata,IterationStartTime,IterationEndTime,MetricName,value,BaseLine,Grp_id,grp_startTime,IntertionTime
16,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:29:51.417985,2023-04-27 06:35:01.382531,op_rate,14589.0,21535.258620689656,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:05.605695
17,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:35:08.082494,2023-04-27 06:40:11.851678,op_rate,14920.0,21535.418374816985,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:14.105878
18,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:40:18.781360,2023-04-27 06:45:26.390382,op_rate,14811.0,21531.396393080602,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:24.290230
19,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:45:33.318910,2023-04-27 06:50:42.409163,op_rate,14731.0,21529.893710923134,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:32.431659
20,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:50:49.138725,2023-04-27 06:55:51.910232,op_rate,15157.0,21537.305159165753,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:40.528340
21,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 06:55:59.419734,2023-04-27 07:01:02.715906,op_rate,15075.0,21532.26030927835,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:48.596872
22,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:01:09.663188,2023-04-27 07:06:12.264963,op_rate,15124.0,21531.44611989702,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:29:57.133580
23,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:06:19.223459,2023-04-27 07:11:26.029269,op_rate,14756.0,21530.36377025037,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:30:05.738762
24,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:11:32.858213,2023-04-27 07:17:07.759830,op_rate,14744.0,21532.109765051395,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:30:14.774008
25,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:17:14.575283,2023-04-27 07:22:20.440042,op_rate,14976.0,21530.974236290025,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:30:23.142098
26,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:22:27.520439,2023-04-27 07:27:37.672039,op_rate,14580.0,21531.029768467477,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:30:31.363844
27,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:27:44.430904,2023-04-27 07:32:58.828773,op_rate,14435.0,21534.538067349928,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:30:39.783793
28,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:33:05.751289,2023-04-27 07:38:15.592526,op_rate,14643.0,21536.147252747254,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:30:48.927594
29,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 07:38:22.552033,2023-04-27 07:43:29.967693,op_rate,14790.0,21535.530642201837,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:31:02.399674
